Valuation Date,Allianz Asian Fund,Allianz Balanced Fund,Allianz Capital Stable Fund,Allianz Flexi Balanced Fund,Allianz Greater China Fund,Allianz Growth Fund,Allianz Hong Kong Fund,Allianz MPF Age 65 Plus Fund,Allianz MPF Conservative Fund,Allianz MPF Core Accumulation Fund,Allianz Oriental Pacific Fund,Allianz RMB Money Market Fund,Allianz Stable Growth Fund
2001-02-02,,15.0,15.0,,,15.0,,,15.0,,,,15.0
2001-02-28,,14.26,14.71,,,13.95,,,15.04,,,,14.48
2001-03-30,,13.15,14.09,,,12.86,,,15.09,,,,13.59
2001-04-30,,13.67,14.36,,,13.47,,,15.13,,,,13.96
2001-05-31,,13.54,14.18,,,13.38,,,15.17,,,,13.8
2001-06-29,,13.21,14.03,,,12.99,,,15.2,,,,13.58
2001-07-31,,12.85,14.0,,,12.51,,,15.22,,,,13.4
2001-08-31,,12.51,14.08,,,11.97,,,15.24,,,,13.26
2001-09-28,,11.57,13.73,,,10.8,,,15.26,,,,12.63
2001-10-31,,11.84,13.87,,,11.1,,,15.27,,,,12.83
2001-11-30,,12.37,13.96,,,11.77,,,15.27,,,,13.13
2001-12-31,,12.53,13.88,,,12.04,,,15.27,,,,13.17
2002-01-31,,12.18,13.69,,,11.67,,,15.28,,,,12.87
2002-02-28,,12.12,13.67,,,11.6,,,15.28,,,,12.84
2002-03-29,,12.42,13.73,,,11.98,,,15.28,,,,13.03
2002-04-30,,12.45,13.93,,,11.95,,,15.28,,,,13.14
2002-05-31,,12.53,14.11,,,11.96,,,15.28,,,,13.29
2002-06-28,,12.19,14.23,,,11.39,,,15.28,,,,13.19
2002-07-31,,11.68,14.0,,,10.76,,,15.28,,,,12.82
2002-08-30,,11.6,14.11,,,10.6,,,15.29,,,,12.82
2002-09-30,,10.89,13.82,,,9.72,,,15.29,,,,12.32
2002-10-31,,11.24,13.96,,,10.13,,,15.29,,,,12.56
2002-11-29,,11.59,14.14,,,10.55,,,15.29,,,,12.84
2002-12-31,,11.34,14.29,,,10.14,,,15.29,,,,12.77
2003-01-31,,11.29,14.35,,,10.05,,,15.29,,,,12.76
2003-02-28,,11.15,14.32,,,9.88,,,15.29,,,,12.66
2003-03-31,,10.95,14.23,,,9.66,,,15.29,,,,12.5
2003-04-30,,11.28,14.44,,,9.97,,,15.29,,,,12.79
2003-05-30,,12.03,15.15,,,10.69,,,15.29,,,,13.5
2003-06-30,,12.34,15.16,,,11.15,,,15.29,,,,13.66
2003-07-31,,12.61,15.15,,,11.52,,,15.29,,,,13.8
2003-08-29,,13.12,15.28,,,12.17,,,15.29,,,,14.12
2003-09-30,,13.52,15.81,,,12.48,,,15.29,,,,14.59
2003-10-31,,14.06,16.04,,,13.15,,,15.29,,,,14.98
2003-11-28,,14.08,16.13,,,13.2,,,15.29,,,,15.04
2003-12-31,,14.91,16.82,,,14.03,,,15.29,,,,15.8
2004-01-30,,15.3,17.02,,,14.52,,,15.29,,,,16.08
2004-02-27,,15.69,17.21,,,14.96,,,15.29,,,,16.39
2004-03-31,,15.6,17.27,,,14.8,,,15.29,,,,16.37
2004-04-30,,14.86,16.62,,,14.06,,,15.28,,,,15.68
2004-05-31,,14.84,16.66,,,13.98,,,15.28,,,,15.71
2004-06-30,,14.99,16.69,,,14.22,,,15.28,,,,15.81
2004-07-30,,14.73,16.56,,,13.9,,,15.28,,,,15.61
2004-08-04,15.0,,,,,,15.0,,,,,,
2004-08-05,15.0,,,,,,15.0,,,,,,
2004-08-06,15.0,,,,,,15.0,,,,,,
