Valuation Date,Fidelity Age 65 Plus Fund,Fidelity Asia Pacific Equity Fund,Fidelity Balanced Fund,Fidelity Capital Stable Fund,Fidelity Core Accumulation Fund,Fidelity Global Equity Fund,Fidelity Growth Fund,Fidelity Hong Kong Bond Fund,Fidelity Hong Kong Equity Fund,Fidelity Hong Kong Tracker Fund,Fidelity MPF Conservative Fund,Fidelity RMB Bond Fund,Fidelity World Bond Fund
2000-12-01,,,10.0,10.0,,,10.0,,10.0,,10.0,,
2000-12-04,,,10.045,10.051,,,10.039,,10.075,,10.004,,
2000-12-05,,,10.115,10.083,,,10.121,,10.064,,10.005,,
2000-12-06,,,10.173,10.118,,,10.196,,10.339,,10.006,,
2000-12-07,,,10.15,10.119,,,10.159,,10.297,,10.008,,
2000-12-08,,,10.194,10.125,,,10.219,,10.405,,10.009,,
2000-12-11,,,10.259,10.13,,,10.315,,10.555,,10.012,,
2000-12-12,,,10.226,10.106,,,10.278,,10.476,,10.014,,
2000-12-13,,,10.257,10.115,,,10.321,,10.662,,10.015,,
2000-12-14,,,10.208,10.133,,,10.237,,10.605,,10.016,,
2000-12-15,,,10.085,10.103,,,10.063,,10.296,,10.018,,
2000-12-18,,,10.105,10.116,,,10.084,,10.333,,10.022,,
2000-12-19,,,10.092,10.09,,,10.074,,10.439,,10.023,,
2000-12-20,,,10.019,10.1,,,9.959,,10.403,,10.024,,
2000-12-21,,,9.974,10.104,,,9.884,,10.3,,10.026,,
2000-12-22,,,10.037,10.146,,,9.955,,10.316,,10.027,,
2000-12-27,,,10.117,10.182,,,10.058,,10.367,,10.033,,
2000-12-28,,,10.138,10.165,,,10.096,,10.431,,10.034,,
2000-12-29,,,10.199,10.234,,,10.154,,10.576,,10.036,,
2001-01-02,,,10.148,10.25,,,10.069,,10.43,,10.041,,
2001-01-03,,,10.114,10.231,,,10.028,,10.23,,10.043,,
2001-01-04,,,10.244,10.273,,,10.2,,10.674,,10.044,,
2001-01-05,,,10.291,10.308,,,10.253,,10.816,,10.046,,
2001-01-08,,,10.243,10.29,,,10.191,,10.753,,10.05,,
2001-01-09,,,10.19,10.237,,,10.138,,10.736,,10.051,,
