Valuation Date,Investco Age 65 Plus Fund,Investco Asian Equity Fund,Investco Balanced Fund,Investco Capital Stable Fund,Investco Core Accumulation Fund,Investco Global Bond Fund,Investco Growth Fund,Investco Hang Seng Index Tracking Fund,Investco Hong Kong and China Equity Fund,Investco MPF Conservative Fund,Investco RMB Bond Fund
2000-12-01,,,,,,,10.0,,,,
2000-12-04,,,,,,,10.0,,,,
2000-12-05,,,,,,,10.0,,,,
2000-12-06,,,,,,,10.0,,,,
2000-12-07,,,,,,,10.0,,,,
2000-12-08,,,,,,,10.0,,,,
2000-12-11,,,,,,,10.0,,,,
2000-12-12,,,,,,,10.0,,,,
2000-12-13,,,,,,,10.0,,,,
2000-12-14,,,,,,,10.0,,,,
2000-12-15,,,,,,,10.0,,,,
2000-12-18,,,,,,,10.0,,,,
2000-12-19,,,,,,,10.0,,,,
2000-12-20,,,,,,,10.0,,,,
2000-12-21,,,,,,,10.0,,,,
2000-12-22,,,,,,,10.0,,,,
2000-12-27,,,,,,,10.0,,,,
2000-12-28,,,,,,,10.0,,,,
2000-12-29,,,,,,,9.9893,,,,
2001-01-02,,,10.0,10.0,,,9.8678,,,10.0,
2001-01-03,,,10.0,10.0,,,9.8372,,,10.0,
2001-01-04,,,10.0,10.0,,,10.1569,,,10.0,
2001-01-05,,,10.0,10.0,,,10.2364,,,10.0,
2001-01-08,,,10.0,10.0,,,10.1745,,,10.0,
2001-01-09,,,10.0,10.0,,,10.1539,,,10.0,
2001-01-10,,,10.0,10.0,,,10.1133,,,10.0,
2001-01-11,,,10.0,10.0,,,10.0326,,,10.0,
2001-01-12,,,10.0,10.0,,,10.1721,,,10.0,
2001-01-15,,,10.0,10.0,,,10.1502,,,10.0,
2001-01-16,,,10.0,10.0,,,10.1499,,,10.0,
2001-01-17,,,10.0,10.0,,,10.1994,,,10.0,
2001-01-18,,,10.0,10.0,,,10.3088,,,10.0,
2001-01-19,,,10.0,10.0,,,10.4983,,,10.0,
2001-01-22,,,10.0,10.0,,,10.4558,,,10.0,
2001-01-23,,,10.0,10.0,,,10.4452,,,10.0,
2001-01-29,,,10.0,10.0,,,10.3318,,,10.0,
2001-01-30,,,9.979,9.9905,,,10.3013,,,10.0007,
2001-01-31,,,10.0679,10.0567,,,10.4107,,,9.998,
2001-02-01,,,10.0907,10.1108,,,10.41,,,9.9994,
2001-02-02,,,10.0114,10.0817,,,10.2894,,,10.0002,
2001-02-05,,,9.9252,10.0378,,,10.1677,,,10.0036,
2001-02-06,,,9.9449,10.046,,,10.1971,,,10.0052,
2001-02-07,,,9.8772,10.0052,,,10.1065,,,10.0056,
2001-02-08,,,9.8134,9.9605,,,10.0259,,,10.007,
2001-02-09,,,9.732999999999999,9.9029,,,9.9252,,,10.0078,
2001-02-12,,,9.7265,9.9159,,,9.9035,,,10.0115,
2001-02-13,,,9.7697,9.9399,,,9.9629,,,10.0126,
2001-02-14,,,9.7195,9.9009,,,9.9023,,,10.0125,
2001-02-15,,,9.7305,9.8886,,,9.9317,,,10.0126,
2001-02-16,,,9.6327,9.8294,,,9.8013,,,10.0131,
2001-02-19,,,9.6156,9.8435,,,9.7598,,,10.0174,
2001-02-20,,,9.6101,9.8574,,,9.7393,,,10.0188,
2001-02-21,,,9.4899,9.7714,,,9.5889,,,10.0195,
2001-02-22,,,9.391,9.7225,,,9.4485,,,10.0205,
2001-02-23,,,9.3739,9.7091,,,9.4281,,,10.0214,
2001-02-26,,,9.461,9.7852,,,9.5266,,,10.0264,
2001-02-27,,,9.3845,9.7628,,,9.4063,,,10.0282,
2001-02-28,,,9.3753,9.7808,,,9.376,,,10.0276,
2001-03-01,,,9.2781,9.7494,,,9.2257,,,10.0288,
2001-03-02,,,9.1987,9.7201,,,9.1056,,,10.03,
2001-03-05,,,9.2325,9.7228,,,9.1641,,,10.0333,
2001-03-06,,,9.3556,9.7727,,,9.3434,,,10.0343,
2001-03-07,,,9.3913,9.8048,,,9.3828,,,10.0347,
